gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
acgan,100,50,building_type_5,0.4159592929685937,0.4229976158105433,0.41823487452926966,0.40837403717889587,0.05438467457951501
acgan,100,50,building_type_7,0.7946938645358881,0.7906102431165699,0.7922825288379443,0.7534751972559216,-0.6556296211320767
acgan,100,50,building_type_9,0.33028000736767504,0.3193652625504515,0.2826144642536893,0.34790750193255926,0.22712558193555554
acgan,100,50,building_type_12,0.8023220591030751,0.7963522403031962,0.7960356927785687,0.7841086813998065,-0.7485028633256223
acgan,100,50,building_type_14,0.8745243010121306,0.872354125364654,0.800536753008165,0.8498756979623282,0.06566403992838221
acgan,100,50,building_type_15,0.6963015000472428,0.6832391840257691,0.5195338386493222,0.7670812465240073,0.2544962537172816
acgan,100,50,building_type_all,0.7397199679601353,0.7830321292123907,0.7951008170286986,0.8845987938053874,0.892772927665576
acgan,100,100,building_type_5,0.40162256436058286,0.4013975888501925,0.4038688724178805,0.38482865814058786,-0.05738497749775018
acgan,100,100,building_type_7,0.8503905729851868,0.8506492345847656,0.8048060783105655,0.8282956118538435,-1.185952578168564
acgan,100,100,building_type_9,0.319894747053851,0.3110900040886655,0.29477830443520125,0.31462857517223264,0.10525527823890801
acgan,100,100,building_type_12,0.9053085091226891,0.9064474921116435,0.8570446607252759,0.9141413103980843,-1.3706924819498982
acgan,100,100,building_type_14,0.8163669979553695,0.8235668968524859,0.7743324269230404,0.8029855811435898,0.2940335953594264
acgan,100,100,building_type_15,0.6633304604712047,0.642930451327357,0.5244887399843168,0.7240099493737382,0.42950652748458473
acgan,100,100,building_type_all,0.7921020402816135,0.9114076541210596,0.8735114239798383,0.8394963935159625,0.8566194831396973
acgan,100,150,building_type_5,0.28899650056454007,0.2895913186267015,0.24157891616016058,0.31109080792474986,-0.07482607350261872
acgan,100,150,building_type_7,0.8330462189305538,0.8317867332806254,0.7267081612296351,0.8334254095984654,-1.9085964624245189
acgan,100,150,building_type_9,0.258155444359214,0.24733260567365845,0.21862329251465196,0.2699371284093388,0.0653715430174805
acgan,100,150,building_type_12,0.8448882952117748,0.8472282533099162,0.7225910416240475,0.8965229490793261,-2.5668334069968766
acgan,100,150,building_type_14,0.7882439242812972,0.7766759767123737,0.6617650778302518,0.8269175168636649,0.4414885906583047
acgan,100,150,building_type_15,0.7616943506092224,0.7378177591673727,0.6646885441213289,0.7955395743543515,0.548953795031888
acgan,100,150,building_type_all,0.713578044876389,0.8804103085694119,0.7536660892385628,0.8045155730572117,0.8480661636480084
acgan,100,200,building_type_5,0.2254289038040952,0.22063906426065816,0.13822472578865053,0.28099713143785254,0.002118150469413549
acgan,100,200,building_type_7,0.7723837856667934,0.7730028991012982,0.6461862750598681,0.7932845225857006,-1.8968148414507158
acgan,100,200,building_type_9,0.2368162693908985,0.23044046689931197,0.17290435577538577,0.27862717898215006,0.13284721622763396
acgan,100,200,building_type_12,0.8503100122081431,0.8550090031397537,0.723405201497853,0.9088621163850269,-2.5193036710639762
acgan,100,200,building_type_14,0.6710321883424588,0.6488779284224016,0.5019631417134776,0.7397236181101824,0.4246508385466601
acgan,100,200,building_type_15,0.8296175150043109,0.8148850025531834,0.7704217008637745,0.8536705137053618,0.759991044228681
acgan,100,200,building_type_all,0.6543783090244477,0.8961160289893729,0.7598358980496644,0.6812824607323005,0.7489410683604487
acgan,100,250,building_type_5,0.28341475963060725,0.29106046861481205,0.2590270252468627,0.29124894278289215,-0.17320486223404474
acgan,100,250,building_type_7,0.9271776922024638,0.9273921772731775,0.8990110557031644,0.8576378382021116,-2.2323002859931202
acgan,100,250,building_type_9,0.24115980128189352,0.24274752497479168,0.21855564118915916,0.24158556137050524,-0.00812365628074474
acgan,100,250,building_type_12,0.9322338500832905,0.9317176561431886,0.9221392093034293,0.8879839094844988,-3.232144513486685
acgan,100,250,building_type_14,0.8344056481371075,0.8237823729722449,0.7512437496990431,0.842173842043837,0.4101984733288029
acgan,100,250,building_type_15,0.8777276943849073,0.8758936979627931,0.8578814124749699,0.878285169366056,0.7381290542594612
acgan,100,250,building_type_all,0.6913240337071274,0.9062480134999316,0.9283636675129756,0.857167226079361,0.872339706224142
acgan,100,300,building_type_5,0.2492672241325019,0.2462710734075385,0.18504585820518282,0.2816066592844033,-0.15399420158698107
acgan,100,300,building_type_7,0.9193867358328143,0.9182194321918158,0.8273044561929983,0.8985621516942357,-2.230015999255422
acgan,100,300,building_type_9,0.23050476049797286,0.22869202238037611,0.1800241605439752,0.2569052886160471,0.023751703590930484
acgan,100,300,building_type_12,0.9196934606885216,0.9206891285676919,0.8477009785257075,0.9246287608228911,-3.1322745741940805
acgan,100,300,building_type_14,0.834961475374866,0.8143853671471744,0.7491663874032548,0.8490687047035084,0.5077854062937712
acgan,100,300,building_type_15,0.9009394372228602,0.8897555601252672,0.8551538903937672,0.9113769501191928,0.7406786432194093
acgan,100,300,building_type_all,0.6966434948050407,0.9248121869130072,0.8627333069059905,0.8513297686087358,0.8806330364476023
acgan,100,350,building_type_5,0.2427934525733184,0.24467081956818526,0.18775305727963465,0.2718900204564042,-0.11145041061065664
acgan,100,350,building_type_7,0.9300340850648866,0.9281470238269494,0.8764197700069514,0.8882867798178123,-1.900021437693026
acgan,100,350,building_type_9,0.21575509411557003,0.2170898656857344,0.1621486860043262,0.24473592634385966,0.030110010784035413
acgan,100,350,building_type_12,0.9231932675880448,0.92282447029249,0.8905035896055805,0.9045485647137589,-2.5168565223271124
acgan,100,350,building_type_14,0.8298433771779341,0.8118619993384613,0.7477524252178629,0.8435780271615133,0.5066736838097792
acgan,100,350,building_type_15,0.9197197828344045,0.9128131665873435,0.8881929239547052,0.9253332318827727,0.7612570808896839
acgan,100,350,building_type_all,0.6812286565335199,0.9152927855311216,0.8983569368299105,0.8534457753357791,0.8729637483088725
acgan,100,400,building_type_5,0.24270944520470195,0.24294415489897103,0.18928268550491822,0.27316686060489836,0.020015214988482244
acgan,100,400,building_type_7,0.9303907571636623,0.9285416966943637,0.9169181703770012,0.8719975931644202,-1.3990829016387458
acgan,100,400,building_type_9,0.20609660328443002,0.20437776580326583,0.15031151854130997,0.23955340130917369,0.06458238820381446
acgan,100,400,building_type_12,0.9199013037817861,0.9180606697915652,0.9105505471861438,0.8929740379268291,-1.6999262062348266
acgan,100,400,building_type_14,0.8154426696933743,0.7923672958049438,0.7171557120109133,0.8380948724705749,0.49212596824697363
acgan,100,400,building_type_15,0.9177410269418358,0.910283058803362,0.8913089591532795,0.9202908502040413,0.7550259846647006
acgan,100,400,building_type_all,0.672924671357618,0.9059721210686332,0.9112464980319518,0.8262624025068694,0.8456310438582327
acgan,100,450,building_type_5,0.23482466775507294,0.2297630819272909,0.18483395051166385,0.2598732699808015,0.029304123127479764
acgan,100,450,building_type_7,0.9289429917398414,0.9267359071419742,0.8962727421577578,0.8930145124475619,-1.141866115628397
acgan,100,450,building_type_9,0.20633504058543817,0.20014294112386244,0.15237396768062994,0.2333546783567534,0.03645127911593937
acgan,100,450,building_type_12,0.9290013605966885,0.9287113379362636,0.900389934262706,0.9234061944291302,-1.1989958271901502
acgan,100,450,building_type_14,0.8256284581057212,0.8020831073772146,0.7324764543433412,0.8445776728147163,0.5201023444719806
acgan,100,450,building_type_15,0.9094185754977284,0.9022038018932848,0.8857526227691256,0.9072561990827384,0.7200181308067246
acgan,100,450,building_type_all,0.6732699734256964,0.9229156946269672,0.9000463428734286,0.8407265378941579,0.8616931977754556
acgan,100,500,building_type_5,0.24595840927518242,0.24548487675427177,0.21551548943989762,0.25494196470650443,-0.0757374727604696
acgan,100,500,building_type_7,0.9332357067539621,0.9316431652761316,0.9212371602866423,0.8797765763492056,-1.2090039963188284
acgan,100,500,building_type_9,0.20306058969357932,0.1980165753977845,0.1634684188254688,0.21378617536129163,-0.0446930395335281
acgan,100,500,building_type_12,0.9273525099249065,0.9262207801626983,0.9186405941760878,0.9048183078880895,-1.3449740057893722
acgan,100,500,building_type_14,0.8234212740702758,0.8028248662675878,0.7462882746530685,0.8327058565425092,0.5098910784945085
acgan,100,500,building_type_15,0.9016602108891925,0.8930510418113359,0.8790347948965905,0.9006552048457235,0.7107985850640444
acgan,100,500,building_type_all,0.6762009961226434,0.9101890740842316,0.9166283254812099,0.8411208506325588,0.8625030907664755
acgan,100,550,building_type_5,0.2428889839001882,0.2372312966811596,0.20917832937482073,0.25324784491171715,-0.02790180962898714
acgan,100,550,building_type_7,0.9249640905315026,0.9231902216655662,0.9097263756585419,0.883339308202279,-0.8713250068955039
acgan,100,550,building_type_9,0.20923486125952862,0.20238373668462772,0.16289929763811262,0.2208954320657852,-0.03093152335565219
acgan,100,550,building_type_12,0.9374347555813879,0.9368024167698639,0.9271768268002908,0.922251300796787,-0.8479252958185453
acgan,100,550,building_type_14,0.8267551776465751,0.8033273136237405,0.7467434591231528,0.8312811990356841,0.439535881310117
acgan,100,550,building_type_15,0.9263024051066098,0.9140208550926299,0.9005664548495942,0.9255310596413528,0.7390739338183081
acgan,100,550,building_type_all,0.6861111536555888,0.9251796477195597,0.9259097138489641,0.8374898102060581,0.8580713762980998
acgan,100,600,building_type_5,0.2171785376185449,0.21550331817934631,0.18839300581023155,0.22406960510815876,-0.07800971434202375
acgan,100,600,building_type_7,0.9313117174197055,0.9308460697461883,0.9194873484967285,0.887061883778199,-0.9059117078568482
acgan,100,600,building_type_9,0.17692166084437577,0.17340490329036107,0.13888595162877304,0.1859740512139575,-0.06239948242799098
acgan,100,600,building_type_12,0.9288039402740398,0.928144604747756,0.922342145192837,0.9101739029242547,-0.9280823551801762
acgan,100,600,building_type_14,0.8381640835813597,0.8167054259616164,0.7592359310069868,0.8423023344128306,0.4741247877631698
acgan,100,600,building_type_15,0.9149351389665719,0.9045578679016246,0.8854913795295507,0.9163086092303256,0.7087997330403308
