gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
sgan,100,50,building_type_7,0.84770091246094,0.8525373924743658,0.7624894261936322,0.8875961074862304,-0.43242608638921176
sgan,100,50,building_type_12,0.9196215455809957,0.9159440140446512,0.919709115971739,0.9038436903348226,-0.14738500850995417
sgan,100,50,building_type_14,0.9023738081650684,0.8956890211622682,0.8586706862497748,0.8507080160931969,0.046168245035136835
sgan,100,50,building_type_15,0.8867696196211597,0.8782090840510538,0.7550508852457395,0.8783530565916283,-0.10512234856419855
sgan,100,50,building_type_all,0.9124301853695327,0.9145833039223809,0.9212554820619603,0.8039801375960974,0.8421665875494313
sgan,100,100,building_type_7,0.9374923540404239,0.9733518199085264,0.9099533918680442,0.9737224902963718,0.39151259433912444
sgan,100,100,building_type_12,0.9865562210036212,0.9862715295176803,0.9867616372847462,0.9747656170660532,-0.09301830620522966
sgan,100,100,building_type_14,0.9363282286226533,0.959788140538346,0.8867173140300842,0.9276359405526481,0.3314907086927421
sgan,100,100,building_type_15,0.938175494091535,0.9347877385435636,0.8139220674979684,0.9315817996588321,-0.005489945731945944
sgan,100,100,building_type_all,0.9714963493725088,0.9816397492483847,0.9871065165645271,0.6534872866658608,0.6865998117177537
sgan,100,150,building_type_7,0.9199460677980482,0.9499765832473743,0.8922154396824686,0.9591983917605341,0.5303383245968631
sgan,100,150,building_type_12,0.9932647795829215,0.9925522810314227,0.9827371050043054,0.9898903182103069,0.11066017841001319
sgan,100,150,building_type_14,0.9074430985064882,0.9392150231055894,0.8892029868764879,0.885051504381812,0.30416520018544824
sgan,100,150,building_type_15,0.9374638029131684,0.9458690303648775,0.87246542533783,0.9249306133955487,0.23084373878096387
sgan,100,150,building_type_all,0.9731642164345723,0.991524446844475,0.9818452913329445,0.6312581990225745,0.6729302606660459
sgan,100,200,building_type_7,0.9220684920524136,0.9265477326305064,0.8974447678766058,0.9422398487482871,0.6142106491902404
sgan,100,200,building_type_12,0.9930369022310745,0.9931027493365411,0.985604677031944,0.9939260915245025,0.6568234268746682
sgan,100,200,building_type_14,0.9267626424864288,0.9538862082617053,0.9164256278118363,0.9239764575344365,0.4701327014244516
sgan,100,200,building_type_15,0.91097253553202,0.9399347318227813,0.8569415564741496,0.8880122303632595,0.24344294537620081
sgan,100,200,building_type_all,0.9531576409660067,0.9929534113796655,0.9850371660866568,0.7608070100385059,0.7861707381953702
sgan,100,250,building_type_7,0.9143410287952851,0.9448468264829554,0.9100531697084816,0.950054993358126,0.7806640777134071
sgan,100,250,building_type_12,0.9748952169931027,0.9725540644262187,0.985211767317169,0.9642533858431686,0.5621257342959175
sgan,100,250,building_type_14,0.8675688028793453,0.8948247210047672,0.8229262049540206,0.882109841676527,0.5126629354625623
sgan,100,250,building_type_15,0.8764442666839204,0.8997182168876139,0.799800912092382,0.8979699404579352,0.43658035595582645
sgan,100,250,building_type_all,0.9167350916599442,0.9695574506939039,0.9828094175631582,0.6475399552486185,0.6961166113434916
sgan,100,300,building_type_7,0.9400019715051936,0.9548338470174196,0.9092991638869403,0.9723047098325036,0.49368120945346916
sgan,100,300,building_type_12,0.9870906422348252,0.9846750238987778,0.9933626405010274,0.9749092110350795,0.33052746987466186
sgan,100,300,building_type_14,0.8893826537719275,0.9120113475794073,0.863360522820901,0.8999003949625398,0.6124544419013135
sgan,100,300,building_type_15,0.907334843028689,0.9324547474979529,0.8452656861519697,0.9329988527560698,0.5203108485839405
sgan,100,300,building_type_all,0.9470876638058361,0.9807225872646402,0.991476779644883,0.7088854859120817,0.7500548546190051
sgan,100,350,building_type_7,0.9679943292661036,0.9814312875655092,0.9753721968769576,0.9854046757512361,0.8862955427300737
sgan,100,350,building_type_12,0.9889258962500235,0.9888810928457153,0.9731503118801221,0.994325215087072,0.44356795894000933
sgan,100,350,building_type_14,0.8762280472213296,0.900230294152093,0.8685405162690912,0.8803468702641645,0.5907577813504699
sgan,100,350,building_type_15,0.9082209774324775,0.9310467331754736,0.8475155899971342,0.92891537808832,0.48285260265285335
sgan,100,350,building_type_all,0.9477648479568804,0.9906772148472971,0.9727354567938539,0.729472727970808,0.7541508029564863
sgan,100,400,building_type_7,0.9314471762935466,0.9555355269425703,0.9287055873429384,0.965854413699228,0.8021518333612275
sgan,100,400,building_type_12,0.9929405752194457,0.9875458208671927,0.9928180525513424,0.9874047737987925,0.5949705652852768
sgan,100,400,building_type_14,0.8559780701067873,0.8749921444564002,0.8353731084114379,0.8670441887374685,0.6606400928218068
sgan,100,400,building_type_15,0.8558026991038077,0.8728008857421554,0.7868200899815342,0.8900798375116613,0.5107728799876989
sgan,100,400,building_type_all,0.8923676615111474,0.9869481556799818,0.9909631778918582,0.6648443437766124,0.7124385551229093
sgan,100,450,building_type_7,0.9118011538592539,0.9357638599037108,0.9453906232043853,0.9328852422914942,0.8531460705515038
