build_id,max,min
FullServiceRestaurant,38870.2751131409,3075.281602777434
HighriseApartment,111240.71767865172,18007.4070220615
Hospital,862627.1465833973,184075.3703550113
LargeHotel,246314.89601149308,36340.82914692885
LargeOffice,1583266.048533125,392151.1348970751
MediumOffice,119426.30505658098,5645.63597837599
MidriseApartment,48572.95556940486,6384.126728492186
MultiFamily,27363.383309091696,4538.393573828987
OutpatientHealthcare,186103.23574467152,18338.55144859525
PrimarySchool,77636.99762137163,15663.155090216074
QuickServiceRestaurant,23502.921078381067,2226.5350661079683
SecondarySchool,175799.02425117267,35226.60522520481
SingleFamily,2498.5685865175487,411.27471830204445
SmallHotel,66952.83598480724,8258.249572118004
SmallOffice,9456.367719633712,380.3676216902438
StandaloneRetail,48134.82744905871,1331.9264109639082
StripMall,59246.77469504753,534.2926826873696
Warehouse,32803.82181382334,1133.5982397261848
